Species,Location,Latitude,Longitude,Observation Date
Cackling Goose,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Mallard,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Bufflehead,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Glaucous-winged Gull,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Belted Kingfisher,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Northern Flicker,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Steller's Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
California Scrub-Jay,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Black-capped Chickadee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Ruby-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Golden-crowned Kinglet,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Bewick's Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
American Robin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
House Finch,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Pine Siskin,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Fox Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Song Sparrow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Spotted Towhee,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 09:50:00
Gadwall,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
American Wigeon,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Northern Pintail,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Green-winged Teal,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Ring-necked Duck,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Pied-billed Grebe,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Great Blue Heron,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Bald Eagle,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
American Crow,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Brown Creeper,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Pacific Wren,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-17 08:19:00
Northern Shoveler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00
Yellow-rumped Warbler,Kent Ponds (GRNRA),47.4066334,-122.2595633,2024-11-10 11:18:00
Spotted Towhee,"Kent, WA, USA",47.4067739513,-122.2465413809,2024-06-16
Green Heron,"Kent, WA, USA",47.4025207835,-122.2554013878,2024-06-16
Yellow Warbler,"Kent, WA, USA",47.4024629164,-122.2561101615,2024-06-16
Red-winged Blackbird,"Kent, WA, USA",47.4019280403,-122.257303074,2024-06-16
