Species,Location,Latitude,Longitude,Observation Date
Common Goldeneye,Carkeek Park,47.7126411,-122.377647,2024-12-21 15:09:00
Bald Eagle,Carkeek Park,47.7126411,-122.377647,2024-12-21 15:09:00
American Crow,Carkeek Park,47.7126411,-122.377647,2024-12-21 15:09:00
Golden-crowned Kinglet,Carkeek Park,47.7126411,-122.377647,2024-12-21 15:09:00
Song Sparrow,Carkeek Park,47.7126411,-122.377647,2024-12-21 15:09:00
Mallard,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Surf Scoter,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Bufflehead,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Band-tailed Pigeon,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Killdeer,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Glaucous-winged Gull,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Horned Grebe,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Double-crested Cormorant,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Hairy Woodpecker,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Northern Flicker,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Ruby-crowned Kinglet,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Pacific Wren,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Bewick's Wren,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Dark-eyed Junco,Carkeek Park,47.7126411,-122.377647,2024-12-21 10:58:00
Black Scoter,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:30:00
Barrow's Goldeneye,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Common Merganser,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Red-breasted Merganser,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Anna's Hummingbird,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Great Blue Heron,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Belted Kingfisher,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Downy Woodpecker,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Pileated Woodpecker,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Black-capped Chickadee,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Chestnut-backed Chickadee,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
Brown Creeper,Carkeek Park,47.7126411,-122.377647,2024-12-21 09:00:00
