Species,Location,Latitude,Longitude,Observation Date
Cackling Goose,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Canada Goose,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Mallard,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Bufflehead,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Common Goldeneye,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Hooded Merganser,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Killdeer,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Ring-billed Gull,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Pied-billed Grebe,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Pacific Loon,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Double-crested Cormorant,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Cooper's Hawk,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Belted Kingfisher,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Northern Flicker,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
American Crow,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Black-capped Chickadee,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Chestnut-backed Chickadee,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Ruby-crowned Kinglet,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Golden-crowned Kinglet,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
European Starling,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
American Robin,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Song Sparrow,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
Spotted Towhee,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:43:00
American Wigeon,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
Green-winged Teal,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
Canvasback,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
Common Merganser,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
American Coot,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
Glaucous-winged Gull,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
Horned Grebe,Lake Sammamish SP,47.5597558,-122.0549817,2024-12-19 12:00:00
