Unnamed: 0,Species,Location,Latitude,Longitude,Observation Date,Count
0,Cackling Goose,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,162.0
1,Canada Goose,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,13.0
2,Anna's Hummingbird,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,2.0
3,Red-breasted Sapsucker,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,1.0
4,Northern Flicker,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,5.0
5,American Crow,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,9.0
6,Black-capped Chickadee,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,2.0
7,Ruby-crowned Kinglet,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,4.0
8,Golden-crowned Kinglet,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,4.0
9,Red-breasted Nuthatch,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,1.0
10,European Starling,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,7.0
11,American Robin,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,14.0
12,Cedar Waxwing,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,27.0
13,Pine Siskin,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,23.0
14,Dark-eyed Junco,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,3.0
15,Song Sparrow,Marymoor Park,47.662576,-122.12052,2024-10-27 09:02:00,3.0
16,Greater White-fronted Goose,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,4.0
17,Wood Duck,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,
18,Gadwall,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,
19,American Wigeon,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,2.0
20,Mallard,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,3.0
21,Pied-billed Grebe,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,1.0
22,Bald Eagle,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,1.0
23,Red-tailed Hawk,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,1.0
24,Belted Kingfisher,Marymoor Park,47.662576,-122.12052,2024-10-26 13:49:00,
